,Model,Substância,cm_0,cm_1,cm_2,cm_3,cm_4,cm_5,cm_6,cm_7,cm_8
1930,RandomForestClassifier,Heroin,167,0,0,16,0,0,5,0,0
1931,RandomForestClassifier,Heroin,167,0,0,16,0,0,5,0,0
1932,RandomForestClassifier,Heroin,167,0,0,16,0,0,5,0,0
1933,RandomForestClassifier,Heroin,167,0,0,15,1,0,4,1,0
1934,RandomForestClassifier,Heroin,166,1,0,15,0,0,6,0,0
1935,RandomForestClassifier,Heroin,167,0,0,15,0,0,6,0,0
1936,RandomForestClassifier,Heroin,166,0,1,15,0,0,6,0,0
1937,RandomForestClassifier,Heroin,167,0,0,15,0,0,5,0,0
1938,RandomForestClassifier,Heroin,166,0,0,15,1,0,5,0,0
1939,RandomForestClassifier,Heroin,165,1,0,16,0,0,5,0,0
1940,RandomForestClassifier,Heroin,167,0,0,16,0,0,5,0,0
1941,RandomForestClassifier,Heroin,167,0,0,16,0,0,5,0,0
1942,RandomForestClassifier,Heroin,167,0,0,16,0,0,5,0,0
1943,RandomForestClassifier,Heroin,167,0,0,16,0,0,5,0,0
1944,RandomForestClassifier,Heroin,167,0,0,15,0,0,6,0,0
1945,RandomForestClassifier,Heroin,165,1,1,15,0,0,6,0,0
1946,RandomForestClassifier,Heroin,167,0,0,14,1,0,6,0,0
1947,RandomForestClassifier,Heroin,167,0,0,15,0,0,5,0,0
1948,RandomForestClassifier,Heroin,166,0,0,16,0,0,5,0,0
1949,RandomForestClassifier,Heroin,165,1,0,15,1,0,5,0,0
1950,RandomForestClassifier,Ketamine,154,0,0,26,0,0,8,0,0
1951,RandomForestClassifier,Ketamine,153,0,0,26,1,0,8,0,0
1952,RandomForestClassifier,Ketamine,153,0,0,27,0,0,8,0,0
1953,RandomForestClassifier,Ketamine,153,0,0,26,1,0,8,0,0
1954,RandomForestClassifier,Ketamine,152,1,0,27,0,0,8,0,0
1955,RandomForestClassifier,Ketamine,153,0,0,27,0,0,8,0,0
1956,RandomForestClassifier,Ketamine,151,2,0,27,0,0,8,0,0
