,Model,Substância,cm_0,cm_1,cm_2,cm_3,cm_4,cm_5,cm_6,cm_7,cm_8
463,NearestCentroid,Mushrooms,77,30,12,12,21,20,2,3,11
464,NearestCentroid,Mushrooms,82,22,15,14,13,26,0,6,10
465,NearestCentroid,Mushrooms,86,20,13,19,17,17,3,4,9
466,NearestCentroid,Mushrooms,78,23,18,10,20,23,1,2,13
467,NearestCentroid,Mushrooms,89,14,16,12,18,23,1,5,9
468,NearestCentroid,Mushrooms,87,16,16,8,17,28,3,5,7
469,NearestCentroid,Mushrooms,88,21,10,15,14,24,3,5,7
470,NearestCentroid,Mushrooms,85,18,16,15,14,25,4,4,7
471,NearestCentroid,Mushrooms,77,28,14,16,19,18,1,1,14
472,NearestCentroid,Mushrooms,83,23,13,14,23,16,3,4,9
473,NearestCentroid,Mushrooms,79,22,18,12,18,23,1,3,12
474,NearestCentroid,Mushrooms,88,16,15,11,16,26,0,5,11
475,NearestCentroid,Mushrooms,82,23,14,13,14,26,2,3,11
476,NearestCentroid,Mushrooms,83,21,15,11,14,28,3,4,9
477,NearestCentroid,Mushrooms,89,16,14,19,17,17,1,3,11
478,NearestCentroid,Mushrooms,90,16,13,9,18,26,1,5,9
479,NearestCentroid,Mushrooms,77,22,20,15,17,21,3,6,6
480,NearestCentroid,Nicotine,40,12,10,9,9,21,21,15,51
481,NearestCentroid,Nicotine,40,8,14,9,12,18,20,11,56
482,NearestCentroid,Nicotine,36,9,17,18,7,14,18,11,58
483,NearestCentroid,Nicotine,40,10,12,11,10,18,20,19,48
484,NearestCentroid,Nicotine,37,8,17,15,8,16,22,15,50
485,NearestCentroid,Nicotine,44,10,8,14,6,19,27,13,47
486,NearestCentroid,Nicotine,44,12,7,15,12,12,18,18,50
487,NearestCentroid,Nicotine,35,10,17,17,7,14,18,19,50
488,NearestCentroid,Nicotine,44,7,11,12,10,16,26,10,51
489,NearestCentroid,Nicotine,46,11,5,12,7,19,21,14,52
490,NearestCentroid,Nicotine,39,11,12,17,9,13,16,12,59
491,NearestCentroid,Nicotine,40,11,11,13,4,22,17,14,56
492,NearestCentroid,Nicotine,35,11,16,12,7,20,22,20,45
493,NearestCentroid,Nicotine,38,11,13,17,8,14,21,14,52
494,NearestCentroid,Nicotine,42,10,10,15,9,15,27,12,48
495,NearestCentroid,Nicotine,38,10,14,9,14,16,19,17,51
496,NearestCentroid,Nicotine,45,6,12,14,5,20,20,16,50
497,NearestCentroid,Nicotine,46,10,6,14,10,14,23,15,49
498,NearestCentroid,Nicotine,41,6,15,13,11,14,27,13,47
499,NearestCentroid,Nicotine,41,12,9,10,13,15,21,19,47
500,NearestCentroid,Nicotine,39,9,14,12,6,21,22,14,51
501,NearestCentroid,Nicotine,45,11,6,16,7,16,21,21,45
502,NearestCentroid,Nicotine,40,13,9,14,12,13,21,9,57
503,NearestCentroid,Nicotine,38,12,12,18,9,12,24,17,46
504,NearestCentroid,Nicotine,37,10,15,12,9,18,22,15,50
505,NearestCentroid,Nicotine,41,7,14,11,11,17,18,12,57
506,NearestCentroid,Nicotine,39,9,15,16,6,17,25,14,47
507,NearestCentroid,Nicotine,44,10,8,12,9,17,20,14,53
508,NearestCentroid,Nicotine,38,10,14,13,10,15,15,20,52
509,NearestCentroid,Nicotine,40,10,12,10,12,16,24,16,47
510,NearestCentroid,VSA,117,30,19,0,12,7,1,1,1
511,NearestCentroid,VSA,120,24,21,4,9,7,2,1,0
512,NearestCentroid,VSA,106,32,27,3,11,6,0,2,1
513,NearestCentroid,VSA,112,26,27,3,10,6,0,2,2
514,NearestCentroid,VSA,101,30,34,3,9,7,0,1,3
515,NearestCentroid,VSA,119,21,25,4,4,11,1,2,1
516,NearestCentroid,VSA,95,30,40,0,10,9,0,2,2
517,NearestCentroid,VSA,112,25,28,5,8,6,0,2,1
518,NearestCentroid,VSA,116,25,24,4,12,3,0,1,2
519,NearestCentroid,VSA,103,25,37,5,4,10,0,2,1
520,NearestCentroid,VSA,104,35,27,3,7,9,1,1,1
521,NearestCentroid,VSA,104,31,30,2,12,6,1,2,0
522,NearestCentroid,VSA,111,30,24,0,10,10,0,1,2
523,NearestCentroid,VSA,108,32,25,5,6,8,0,3,1
524,NearestCentroid,VSA,113,31,21,1,12,6,0,2,2
525,NearestCentroid,VSA,105,30,30,4,9,6,0,3,1
526,NearestCentroid,VSA,116,21,28,5,7,7,1,2,1
527,NearestCentroid,VSA,114,25,26,0,9,10,0,0,3
528,NearestCentroid,VSA,112,30,23,5,9,5,0,1,2
529,NearestCentroid,VSA,123,19,23,7,5,7,0,0,3
530,NearestCentroid,VSA,116,26,24,3,4,12,1,2,0
531,NearestCentroid,VSA,111,27,27,2,11,7,0,2,1
532,NearestCentroid,VSA,106,23,36,5,7,8,1,1,1
533,NearestCentroid,VSA,108,34,23,5,8,6,0,1,3
534,NearestCentroid,VSA,111,27,27,1,9,9,0,3,1
535,NearestCentroid,VSA,116,30,19,4,13,2,1,1,2
536,NearestCentroid,VSA,106,26,33,3,11,5,1,1,2
537,NearestCentroid,VSA,108,29,28,3,13,3,0,2,1
538,NearestCentroid,VSA,111,30,24,4,10,5,0,1,2
539,NearestCentroid,VSA,111,27,27,3,5,11,0,1,2
540,GaussianNB,Alcohol,0,1,6,0,0,26,0,2,153
541,GaussianNB,Alcohol,0,0,7,0,0,26,0,2,153
542,GaussianNB,Alcohol,0,0,7,0,0,26,1,0,154
543,GaussianNB,Alcohol,0,0,7,0,0,26,0,0,155
544,GaussianNB,Alcohol,0,0,7,0,0,26,0,0,155
545,GaussianNB,Alcohol,0,0,7,1,0,26,2,1,151
546,GaussianNB,Alcohol,0,0,7,0,0,27,0,0,154
547,GaussianNB,Alcohol,0,0,6,1,0,26,1,0,153
548,GaussianNB,Alcohol,0,0,6,0,0,27,1,3,150
549,GaussianNB,Alcohol,0,0,6,0,1,26,1,0,153
550,GaussianNB,Alcohol,0,0,7,0,0,26,4,2,149
551,GaussianNB,Alcohol,0,0,7,0,1,25,1,0,154
552,GaussianNB,Alcohol,0,0,7,1,0,25,1,0,154
553,GaussianNB,Alcohol,0,0,7,0,0,26,0,2,153
554,GaussianNB,Alcohol,0,0,7,1,1,24,0,0,155
555,GaussianNB,Alcohol,0,0,7,0,0,27,0,1,153
556,GaussianNB,Alcohol,0,1,6,0,0,27,0,4,150
557,GaussianNB,Alcohol,0,0,6,0,0,27,0,0,154
558,GaussianNB,Alcohol,1,0,5,0,0,27,0,0,154
559,GaussianNB,Alcohol,0,0,6,0,1,26,1,0,153
560,GaussianNB,Alcohol,0,0,7,0,0,26,0,1,154
561,GaussianNB,Alcohol,0,0,7,0,0,26,1,2,152
562,GaussianNB,Alcohol,0,0,7,0,1,25,0,1,154
563,GaussianNB,Alcohol,1,0,6,1,0,25,1,0,154
564,GaussianNB,Alcohol,0,0,7,0,0,26,0,0,155
565,GaussianNB,Alcohol,0,0,7,0,0,27,1,1,152
566,GaussianNB,Alcohol,0,0,7,1,0,26,0,3,151
567,GaussianNB,Alcohol,0,0,6,0,0,27,0,4,150
568,GaussianNB,Alcohol,0,0,6,0,0,27,0,0,154
569,GaussianNB,Alcohol,0,0,6,0,0,27,0,0,154
570,GaussianNB,Amphet,84,27,9,20,19,5,9,8,7
571,GaussianNB,Amphet,92,20,8,20,16,8,8,10,6
572,GaussianNB,Amphet,91,18,11,19,15,10,11,8,5
573,GaussianNB,Amphet,95,21,4,22,17,5,9,12,3
574,GaussianNB,Amphet,98,15,7,22,19,3,8,9,7
575,GaussianNB,Amphet,100,13,7,23,14,7,9,7,8
576,GaussianNB,Amphet,105,12,3,23,16,5,9,11,4
577,GaussianNB,Amphet,95,18,8,24,11,8,8,6,9
578,GaussianNB,Amphet,99,14,8,13,22,8,9,8,6
579,GaussianNB,Amphet,96,15,10,12,17,14,4,13,6
580,GaussianNB,Amphet,95,16,9,23,16,5,10,5,9
581,GaussianNB,Amphet,94,16,10,16,18,10,10,8,6
582,GaussianNB,Amphet,101,14,5,22,15,7,8,8,8
583,GaussianNB,Amphet,94,19,7,18,21,5,4,11,9
584,GaussianNB,Amphet,95,16,9,21,17,6,10,11,3
585,GaussianNB,Amphet,98,15,7,17,18,9,7,10,7
586,GaussianNB,Amphet,94,22,4,21,13,10,6,13,5
587,GaussianNB,Amphet,94,22,5,18,16,9,8,7,8
588,GaussianNB,Amphet,95,19,7,16,17,10,7,9,7
589,GaussianNB,Amphet,94,19,8,24,13,6,10,11,2
590,GaussianNB,Amphet,95,16,9,17,18,9,10,10,4
591,GaussianNB,Amphet,97,16,7,21,15,8,11,8,5
592,GaussianNB,Amphet,92,21,7,23,15,6,7,12,5
593,GaussianNB,Amphet,95,15,10,10,21,13,8,5,11
594,GaussianNB,Amphet,90,20,10,20,15,9,8,7,9
595,GaussianNB,Amphet,94,18,8,19,21,4,8,6,10
596,GaussianNB,Amphet,100,16,4,28,11,5,10,11,3
597,GaussianNB,Amphet,90,23,8,20,15,8,7,10,6
598,GaussianNB,Amphet,97,17,7,20,17,6,7,12,4
599,GaussianNB,Amphet,100,16,5,17,22,4,5,15,3
600,GaussianNB,Amyl,138,13,0,29,4,0,2,2,0
601,GaussianNB,Amyl,135,11,5,25,8,0,3,1,0
602,GaussianNB,Amyl,136,15,0,29,4,0,3,1,0
603,GaussianNB,Amyl,138,13,0,27,6,0,3,1,0
604,GaussianNB,Amyl,139,9,3,31,2,0,4,0,0
605,GaussianNB,Amyl,134,17,0,28,4,1,3,1,0
606,GaussianNB,Amyl,135,13,3,26,5,1,4,1,0
607,GaussianNB,Amyl,143,8,0,27,4,1,3,1,0
608,GaussianNB,Amyl,138,12,1,27,5,0,3,1,0
609,GaussianNB,Amyl,138,12,0,26,5,2,3,1,0
610,GaussianNB,Amyl,139,11,1,30,2,1,3,1,0
611,GaussianNB,Amyl,136,14,1,28,4,1,4,0,0
612,GaussianNB,Amyl,141,8,2,29,4,0,4,0,0
613,GaussianNB,Amyl,131,19,1,27,6,0,4,0,0
614,GaussianNB,Amyl,143,8,0,27,5,1,2,2,0
615,GaussianNB,Amyl,140,10,1,28,5,0,2,2,0
616,GaussianNB,Amyl,144,6,1,27,4,1,3,1,1
617,GaussianNB,Amyl,139,11,1,27,4,1,2,2,0
618,GaussianNB,Amyl,133,17,1,29,3,0,4,0,0
619,GaussianNB,Amyl,127,17,6,27,6,0,3,1,0
620,GaussianNB,Amyl,140,10,1,26,6,1,3,1,0
621,GaussianNB,Amyl,133,15,3,27,6,0,2,2,0
622,GaussianNB,Amyl,136,11,4,27,5,1,4,0,0
623,GaussianNB,Amyl,139,12,0,30,3,0,3,1,0
624,GaussianNB,Amyl,138,10,3,29,3,1,4,0,0
625,GaussianNB,Amyl,135,14,2,28,3,2,4,0,0
626,GaussianNB,Amyl,144,6,1,23,8,1,4,1,0
627,GaussianNB,Amyl,141,10,0,29,2,1,1,3,0
628,GaussianNB,Amyl,129,21,1,27,4,1,4,0,0
629,GaussianNB,Amyl,133,17,0,29,4,0,3,1,0
630,GaussianNB,Benzos,88,11,12,27,4,16,10,5,15
631,GaussianNB,Benzos,88,9,14,27,7,13,10,6,14
632,GaussianNB,Benzos,87,8,16,26,10,11,9,7,14
633,GaussianNB,Benzos,90,8,13,27,8,12,13,3,14
634,GaussianNB,Benzos,83,14,15,32,5,9,15,4,11
635,GaussianNB,Benzos,95,7,10,32,5,9,13,8,9
636,GaussianNB,Benzos,92,4,16,26,4,16,11,6,13
637,GaussianNB,Benzos,87,11,14,24,13,9,12,7,10
638,GaussianNB,Benzos,89,12,11,28,6,12,9,6,14
639,GaussianNB,Benzos,92,3,16,28,5,13,14,3,13
640,GaussianNB,Benzos,90,10,11,24,12,11,11,3,16
641,GaussianNB,Benzos,87,9,15,31,9,7,12,5,13
642,GaussianNB,Benzos,88,9,14,27,6,14,13,4,13
643,GaussianNB,Benzos,88,9,14,28,5,14,9,10,11
644,GaussianNB,Benzos,85,10,17,28,4,14,12,3,15
645,GaussianNB,Benzos,89,10,13,29,7,10,13,4,13
646,GaussianNB,Benzos,90,8,14,28,4,14,11,6,13
647,GaussianNB,Benzos,94,6,12,25,7,14,12,5,12
648,GaussianNB,Benzos,86,12,14,26,6,14,15,3,11
649,GaussianNB,Benzos,93,9,9,31,6,9,11,6,13
650,GaussianNB,Benzos,87,13,11,30,3,14,11,4,15
651,GaussianNB,Benzos,88,7,16,27,8,12,14,4,12
652,GaussianNB,Benzos,94,7,10,30,7,10,11,6,13
653,GaussianNB,Benzos,88,10,13,23,3,21,11,6,13
654,GaussianNB,Benzos,93,8,11,32,10,4,11,7,12
655,GaussianNB,Benzos,86,9,17,30,5,11,12,4,14
656,GaussianNB,Benzos,81,9,22,20,11,15,9,7,14
657,GaussianNB,Benzos,87,11,14,28,7,11,12,7,10
658,GaussianNB,Benzos,90,13,9,25,5,16,12,5,12
659,GaussianNB,Benzos,93,6,12,30,6,10,13,4,13
660,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
661,GaussianNB,Caff,0,0,4,0,0,8,1,0,175
662,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
663,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
664,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
665,GaussianNB,Caff,0,0,4,0,0,8,1,0,175
666,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
667,GaussianNB,Caff,0,0,3,0,0,9,0,0,175
668,GaussianNB,Caff,0,0,3,0,0,9,0,0,175
669,GaussianNB,Caff,0,0,3,0,0,9,0,0,175
670,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
671,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
672,GaussianNB,Caff,0,0,4,0,0,8,1,0,175
673,GaussianNB,Caff,0,0,4,0,0,8,1,0,175
674,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
675,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
676,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
677,GaussianNB,Caff,0,0,3,0,0,9,2,0,173
678,GaussianNB,Caff,0,0,3,0,0,9,0,0,175
679,GaussianNB,Caff,0,0,3,0,0,9,0,0,175
680,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
681,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
682,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
683,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
684,GaussianNB,Caff,0,0,4,0,0,8,1,0,175
685,GaussianNB,Caff,0,0,4,0,0,8,0,0,176
686,GaussianNB,Caff,0,0,4,0,0,8,1,0,175
687,GaussianNB,Caff,0,0,3,0,0,9,0,0,175
688,GaussianNB,Caff,0,0,3,0,0,9,0,0,175
689,GaussianNB,Caff,0,0,3,0,0,9,1,0,174
690,GaussianNB,Cannabis,47,9,6,19,10,18,11,5,63
691,GaussianNB,Cannabis,51,6,5,19,6,23,12,5,61
692,GaussianNB,Cannabis,45,10,7,27,9,12,11,12,55
693,GaussianNB,Cannabis,44,8,10,16,12,20,10,8,60
694,GaussianNB,Cannabis,51,6,5,22,7,19,12,7,59
695,GaussianNB,Cannabis,46,10,6,16,9,23,9,6,63
696,GaussianNB,Cannabis,44,8,10,21,5,22,13,8,57
697,GaussianNB,Cannabis,47,10,5,15,11,21,12,10,56
698,GaussianNB,Cannabis,39,12,11,20,7,20,3,7,68
699,GaussianNB,Cannabis,48,8,6,17,11,19,13,9,56
700,GaussianNB,Cannabis,47,9,6,16,10,21,11,7,61
701,GaussianNB,Cannabis,54,5,3,12,10,26,12,6,60
702,GaussianNB,Cannabis,42,11,9,18,7,23,14,9,55
703,GaussianNB,Cannabis,52,4,6,19,8,21,10,10,58
704,GaussianNB,Cannabis,44,7,11,22,7,19,15,10,53
705,GaussianNB,Cannabis,40,16,6,26,9,13,8,9,61
706,GaussianNB,Cannabis,47,7,8,15,12,21,10,5,63
707,GaussianNB,Cannabis,47,7,8,21,15,11,4,11,63
708,GaussianNB,Cannabis,46,10,6,20,10,17,13,6,59
709,GaussianNB,Cannabis,44,11,7,19,7,21,10,7,61
710,GaussianNB,Cannabis,41,13,8,22,7,18,12,4,63
711,GaussianNB,Cannabis,42,10,10,19,6,23,10,10,58
712,GaussianNB,Cannabis,49,7,6,17,13,18,13,8,57
713,GaussianNB,Cannabis,45,9,8,20,10,18,9,11,58
714,GaussianNB,Cannabis,46,13,3,18,7,23,15,6,57
715,GaussianNB,Cannabis,52,3,7,19,11,18,14,7,57
716,GaussianNB,Cannabis,46,9,7,14,13,21,8,6,64
717,GaussianNB,Cannabis,45,8,9,18,11,18,8,8,62
718,GaussianNB,Cannabis,44,10,8,20,5,22,12,10,56
719,GaussianNB,Cannabis,49,11,2,19,9,19,7,9,62
720,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
721,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
722,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
723,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
724,GaussianNB,Choc,0,0,3,0,0,7,0,0,178
725,GaussianNB,Choc,0,0,3,0,0,7,0,0,178
726,GaussianNB,Choc,0,0,3,0,0,7,0,0,178
727,GaussianNB,Choc,0,0,3,0,0,6,0,0,178
728,GaussianNB,Choc,0,0,3,0,0,6,0,0,178
729,GaussianNB,Choc,0,0,3,0,0,6,0,0,178
730,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
731,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
732,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
733,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
734,GaussianNB,Choc,0,0,3,0,0,7,0,0,178
735,GaussianNB,Choc,0,0,3,0,0,7,0,0,178
736,GaussianNB,Choc,0,0,3,0,0,7,0,0,178
737,GaussianNB,Choc,0,0,3,0,0,6,0,0,178
738,GaussianNB,Choc,0,0,3,0,0,6,0,0,178
739,GaussianNB,Choc,0,0,3,0,0,6,0,0,178
740,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
741,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
742,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
743,GaussianNB,Choc,0,0,4,0,0,6,0,0,178
744,GaussianNB,Choc,0,0,3,0,0,7,0,0,178
745,GaussianNB,Choc,0,0,3,0,0,7,0,0,178
746,GaussianNB,Choc,0,0,3,0,0,7,0,0,178
747,GaussianNB,Choc,0,0,3,0,0,6,0,0,178
748,GaussianNB,Choc,0,0,3,0,0,6,0,0,178
749,GaussianNB,Choc,0,0,3,0,0,6,0,0,178
750,GaussianNB,Coke,93,27,0,27,23,2,4,10,2
751,GaussianNB,Coke,88,28,4,24,24,4,5,7,4
752,GaussianNB,Coke,89,29,2,21,27,4,6,10,0
753,GaussianNB,Coke,94,22,4,30,20,2,5,11,0
754,GaussianNB,Coke,90,27,3,24,25,3,7,7,2
755,GaussianNB,Coke,93,27,0,26,22,4,1,13,2
756,GaussianNB,Coke,92,22,5,28,23,2,7,7,2
757,GaussianNB,Coke,81,36,2,25,27,1,1,12,2
758,GaussianNB,Coke,93,23,3,21,25,7,7,5,3
759,GaussianNB,Coke,93,23,3,31,19,3,4,11,0
760,GaussianNB,Coke,91,27,2,18,33,1,3,11,2
761,GaussianNB,Coke,91,25,4,29,22,1,6,10,0
762,GaussianNB,Coke,97,21,2,22,25,5,5,9,2
763,GaussianNB,Coke,91,29,0,25,26,1,5,8,3
764,GaussianNB,Coke,90,30,0,28,20,4,2,13,1
765,GaussianNB,Coke,89,26,5,25,24,3,5,8,3
766,GaussianNB,Coke,95,23,1,30,20,3,4,10,2
767,GaussianNB,Coke,91,25,3,29,19,5,7,6,2
768,GaussianNB,Coke,92,22,5,28,20,5,6,8,1
769,GaussianNB,Coke,83,33,3,25,21,7,5,9,1
770,GaussianNB,Coke,91,28,1,29,19,4,6,8,2
771,GaussianNB,Coke,78,36,6,21,27,4,5,11,0
772,GaussianNB,Coke,97,22,1,26,23,3,3,9,4
773,GaussianNB,Coke,96,20,4,21,25,6,6,9,1
774,GaussianNB,Coke,91,27,2,24,26,2,5,9,2
775,GaussianNB,Coke,83,33,4,27,24,1,4,12,0
776,GaussianNB,Coke,92,22,5,23,21,9,6,9,1
777,GaussianNB,Coke,93,25,1,25,20,8,3,10,2
778,GaussianNB,Coke,93,24,2,30,23,0,5,10,0
779,GaussianNB,Coke,91,28,0,30,21,2,4,10,1
780,GaussianNB,Crack,153,12,4,14,3,0,2,0,0
781,GaussianNB,Crack,157,11,1,15,2,0,1,1,0
782,GaussianNB,Crack,148,14,7,14,2,1,2,0,0
783,GaussianNB,Crack,157,12,0,14,3,0,1,1,0
784,GaussianNB,Crack,154,15,0,12,3,2,2,0,0
785,GaussianNB,Crack,150,18,1,10,7,0,1,1,0
786,GaussianNB,Crack,160,9,0,13,2,2,1,1,0
787,GaussianNB,Crack,156,13,0,12,4,0,1,1,0
788,GaussianNB,Crack,158,10,1,13,3,0,2,0,0
789,GaussianNB,Crack,151,16,1,14,3,0,1,1,0
790,GaussianNB,Crack,157,12,0,12,3,2,1,1,0
791,GaussianNB,Crack,154,15,0,14,3,0,2,0,0
792,GaussianNB,Crack,160,9,0,11,6,0,1,1,0
793,GaussianNB,Crack,152,16,1,12,4,1,2,0,0
794,GaussianNB,Crack,161,8,0,11,6,0,1,1,0
795,GaussianNB,Crack,162,6,1,12,4,1,0,2,0
796,GaussianNB,Crack,153,14,2,13,4,0,2,0,0
797,GaussianNB,Crack,148,12,9,12,2,2,2,0,0
798,GaussianNB,Crack,147,18,4,14,2,0,2,0,0
799,GaussianNB,Crack,151,16,1,16,1,0,1,1,0
800,GaussianNB,Crack,164,4,1,10,5,2,1,1,0
801,GaussianNB,Crack,152,17,0,15,2,0,1,1,0
802,GaussianNB,Crack,151,18,0,16,1,0,2,0,0
803,GaussianNB,Crack,156,12,1,12,4,1,2,0,0
804,GaussianNB,Crack,154,15,0,14,3,0,1,1,0
805,GaussianNB,Crack,147,20,2,12,4,1,2,0,0
806,GaussianNB,Crack,162,6,1,14,2,1,1,1,0
807,GaussianNB,Crack,146,19,4,11,5,0,1,1,0
808,GaussianNB,Crack,155,11,3,13,3,0,2,0,0
809,GaussianNB,Crack,159,8,1,12,5,0,1,1,0
810,GaussianNB,Ecstasy,93,16,5,21,25,5,6,12,5
811,GaussianNB,Ecstasy,94,18,2,18,28,5,6,15,2
812,GaussianNB,Ecstasy,91,22,0,20,27,4,5,14,5
813,GaussianNB,Ecstasy,87,21,5,19,24,8,6,13,5
814,GaussianNB,Ecstasy,85,21,7,15,31,5,6,14,4
815,GaussianNB,Ecstasy,98,12,3,20,23,8,7,10,7
816,GaussianNB,Ecstasy,88,20,5,22,26,3,5,13,6
817,GaussianNB,Ecstasy,88,18,7,25,21,4,10,10,4
818,GaussianNB,Ecstasy,88,17,8,14,32,4,10,8,6
819,GaussianNB,Ecstasy,89,20,4,17,25,8,2,14,8
820,GaussianNB,Ecstasy,89,16,9,18,25,8,9,10,4
821,GaussianNB,Ecstasy,95,17,2,20,27,4,2,13,8
822,GaussianNB,Ecstasy,89,20,4,15,34,2,5,10,9
823,GaussianNB,Ecstasy,88,19,6,23,25,3,5,15,4
824,GaussianNB,Ecstasy,84,23,6,20,25,6,9,12,3
825,GaussianNB,Ecstasy,89,21,3,24,23,4,5,15,4
826,GaussianNB,Ecstasy,92,16,5,19,21,11,9,9,6
827,GaussianNB,Ecstasy,100,11,2,13,26,11,7,8,9
828,GaussianNB,Ecstasy,90,20,3,17,30,3,8,11,5
829,GaussianNB,Ecstasy,87,19,7,18,30,2,5,16,3
830,GaussianNB,Ecstasy,90,20,4,20,22,9,4,15,4
831,GaussianNB,Ecstasy,91,17,6,22,28,1,6,12,5
832,GaussianNB,Ecstasy,93,16,4,18,27,6,9,8,7
833,GaussianNB,Ecstasy,92,18,3,15,34,2,6,13,5
834,GaussianNB,Ecstasy,86,20,7,26,19,6,6,11,7
835,GaussianNB,Ecstasy,93,16,4,25,19,7,9,11,4
836,GaussianNB,Ecstasy,89,20,4,17,30,4,7,11,6
837,GaussianNB,Ecstasy,90,19,4,19,25,6,6,13,5
838,GaussianNB,Ecstasy,90,18,5,13,31,6,4,14,6
839,GaussianNB,Ecstasy,89,22,2,16,29,5,7,12,5
840,GaussianNB,Heroin,149,5,13,12,2,2,4,1,0
841,GaussianNB,Heroin,144,14,9,14,2,0,3,2,0
842,GaussianNB,Heroin,154,10,3,9,3,4,1,3,1
843,GaussianNB,Heroin,149,14,4,13,1,2,2,1,2
844,GaussianNB,Heroin,158,5,4,9,4,2,3,2,1
845,GaussianNB,Heroin,149,7,11,11,3,1,4,2,0
846,GaussianNB,Heroin,156,5,6,9,1,5,5,1,0
847,GaussianNB,Heroin,151,7,9,10,3,2,3,1,1
848,GaussianNB,Heroin,152,5,9,12,2,2,1,2,2
849,GaussianNB,Heroin,151,10,5,13,2,1,3,1,1
850,GaussianNB,Heroin,149,7,11,12,4,0,3,0,2
851,GaussianNB,Heroin,154,6,7,13,0,3,3,2,0
852,GaussianNB,Heroin,150,11,6,9,4,3,2,2,1
853,GaussianNB,Heroin,151,4,12,13,2,1,3,1,1
854,GaussianNB,Heroin,155,5,7,12,1,2,1,4,1
855,GaussianNB,Heroin,152,9,6,9,5,1,5,1,0
856,GaussianNB,Heroin,152,8,7,12,1,2,3,0,3
857,GaussianNB,Heroin,150,10,7,11,2,2,0,3,2
858,GaussianNB,Heroin,151,8,7,13,1,2,4,0,1
859,GaussianNB,Heroin,148,12,6,10,4,2,4,0,1
860,GaussianNB,Heroin,153,4,10,11,2,3,2,2,1
861,GaussianNB,Heroin,144,8,15,15,0,1,3,2,0
862,GaussianNB,Heroin,147,15,5,10,4,2,1,1,3
863,GaussianNB,Heroin,149,8,10,13,2,1,4,1,0
864,GaussianNB,Heroin,153,10,4,9,4,2,2,1,3
865,GaussianNB,Heroin,153,6,8,13,1,1,4,0,2
866,GaussianNB,Heroin,156,5,6,9,3,3,3,2,1
867,GaussianNB,Heroin,151,9,7,10,1,4,4,1,0
868,GaussianNB,Heroin,150,6,10,12,4,0,2,2,1
869,GaussianNB,Heroin,151,10,5,12,2,2,3,2,0
870,GaussianNB,Ketamine,138,14,2,15,10,1,4,3,1
871,GaussianNB,Ketamine,126,22,5,21,6,0,6,1,1
872,GaussianNB,Ketamine,131,21,1,19,7,1,4,4,0
873,GaussianNB,Ketamine,127,24,2,18,9,0,2,5,1
874,GaussianNB,Ketamine,131,18,4,19,8,0,5,3,0
875,GaussianNB,Ketamine,132,15,6,19,6,2,3,5,0
876,GaussianNB,Ketamine,132,18,3,14,9,4,5,1,2
877,GaussianNB,Ketamine,132,19,2,20,6,1,4,3,0
878,GaussianNB,Ketamine,120,27,6,15,10,2,6,1,0
879,GaussianNB,Ketamine,131,20,2,22,3,2,4,3,0
880,GaussianNB,Ketamine,126,27,1,17,9,0,6,2,0
881,GaussianNB,Ketamine,133,16,4,19,8,0,4,4,0
882,GaussianNB,Ketamine,134,15,4,15,9,3,6,1,1
883,GaussianNB,Ketamine,131,18,4,17,7,3,3,4,1
884,GaussianNB,Ketamine,131,19,3,21,6,0,3,4,1
885,GaussianNB,Ketamine,127,24,2,21,6,0,4,4,0
886,GaussianNB,Ketamine,117,31,5,17,9,1,3,4,1
887,GaussianNB,Ketamine,138,10,5,19,6,2,5,2,0
888,GaussianNB,Ketamine,131,19,3,15,10,2,5,1,1
889,GaussianNB,Ketamine,135,16,2,17,10,0,4,3,0
890,GaussianNB,Ketamine,134,16,4,22,3,1,7,1,0
891,GaussianNB,Ketamine,127,23,3,16,8,3,4,3,1
892,GaussianNB,Ketamine,129,23,1,23,3,1,2,5,1
893,GaussianNB,Ketamine,129,18,6,15,12,0,4,4,0
