,Model,Substância,cm_0,cm_1,cm_2,cm_3
954,GaussianNB,LSD,120,13,23,32
955,GaussianNB,LSD,114,19,24,31
956,GaussianNB,LSD,116,16,30,26
957,GaussianNB,LSD,117,15,20,35
958,GaussianNB,LSD,115,17,25,30
959,GaussianNB,LSD,110,22,25,30
960,GaussianNB,Meth,142,5,33,8
961,GaussianNB,Meth,143,4,34,7
962,GaussianNB,Meth,140,7,32,9
963,GaussianNB,Meth,142,4,34,8
964,GaussianNB,Meth,133,13,37,5
965,GaussianNB,Meth,134,12,36,6
966,GaussianNB,Meth,139,7,37,5
967,GaussianNB,Meth,135,11,34,7
968,GaussianNB,Meth,141,5,33,8
969,GaussianNB,Meth,142,4,34,7
970,GaussianNB,Meth,135,12,33,8
971,GaussianNB,Meth,141,6,36,5
972,GaussianNB,Meth,139,8,33,8
973,GaussianNB,Meth,135,11,35,7
974,GaussianNB,Meth,138,8,34,8
975,GaussianNB,Meth,135,11,34,8
976,GaussianNB,Meth,138,8,34,8
977,GaussianNB,Meth,140,6,32,9
978,GaussianNB,Meth,142,4,37,4
979,GaussianNB,Meth,141,5,32,9
980,GaussianNB,Meth,140,7,34,7
981,GaussianNB,Meth,134,13,31,10
982,GaussianNB,Meth,140,7,36,5
983,GaussianNB,Meth,137,9,32,10
984,GaussianNB,Meth,136,10,32,10
985,GaussianNB,Meth,140,6,33,9
986,GaussianNB,Meth,141,5,36,6
987,GaussianNB,Meth,141,5,35,6
988,GaussianNB,Meth,144,2,38,3
989,GaussianNB,Meth,138,8,35,6
990,GaussianNB,Mushrooms,100,19,31,38
991,GaussianNB,Mushrooms,98,21,24,45
992,GaussianNB,Mushrooms,92,27,30,39
993,GaussianNB,Mushrooms,96,23,21,48
994,GaussianNB,Mushrooms,102,17,28,41
995,GaussianNB,Mushrooms,96,23,29,40
996,GaussianNB,Mushrooms,93,26,22,47
997,GaussianNB,Mushrooms,97,22,26,42
998,GaussianNB,Mushrooms,100,19,23,45
999,GaussianNB,Mushrooms,95,24,27,41
1000,GaussianNB,Mushrooms,97,22,18,51
1001,GaussianNB,Mushrooms,95,24,27,42
1002,GaussianNB,Mushrooms,95,24,31,38
1003,GaussianNB,Mushrooms,98,21,29,40
1004,GaussianNB,Mushrooms,97,22,26,43
1005,GaussianNB,Mushrooms,97,22,23,46
1006,GaussianNB,Mushrooms,92,27,20,49
1007,GaussianNB,Mushrooms,100,19,32,36
1008,GaussianNB,Mushrooms,102,17,25,43
1009,GaussianNB,Mushrooms,94,25,32,36
1010,GaussianNB,Mushrooms,100,19,28,41
1011,GaussianNB,Mushrooms,97,22,26,43
1012,GaussianNB,Mushrooms,94,25,30,39
1013,GaussianNB,Mushrooms,98,21,26,43
1014,GaussianNB,Mushrooms,93,26,27,42
1015,GaussianNB,Mushrooms,96,23,28,41
1016,GaussianNB,Mushrooms,97,22,26,43
1017,GaussianNB,Mushrooms,95,24,17,51
1018,GaussianNB,Mushrooms,98,21,22,46
1019,GaussianNB,Mushrooms,99,20,32,36
1020,GaussianNB,Nicotine,31,31,22,104
1021,GaussianNB,Nicotine,20,42,23,103
1022,GaussianNB,Nicotine,24,38,20,106
1023,GaussianNB,Nicotine,27,35,19,107
1024,GaussianNB,Nicotine,31,31,12,114
1025,GaussianNB,Nicotine,26,36,20,106
1026,GaussianNB,Nicotine,35,28,22,103
1027,GaussianNB,Nicotine,27,35,15,110
1028,GaussianNB,Nicotine,34,28,19,106
1029,GaussianNB,Nicotine,36,26,17,108
1030,GaussianNB,Nicotine,30,32,22,104
1031,GaussianNB,Nicotine,30,32,14,112
1032,GaussianNB,Nicotine,24,38,21,105
1033,GaussianNB,Nicotine,25,37,17,109
1034,GaussianNB,Nicotine,28,34,8,118
1035,GaussianNB,Nicotine,24,38,22,104
1036,GaussianNB,Nicotine,31,32,17,108
1037,GaussianNB,Nicotine,37,25,23,102
1038,GaussianNB,Nicotine,33,29,21,104
1039,GaussianNB,Nicotine,26,36,31,94
1040,GaussianNB,Nicotine,27,35,19,107
1041,GaussianNB,Nicotine,28,34,18,108
1042,GaussianNB,Nicotine,32,30,22,104
1043,GaussianNB,Nicotine,22,40,18,108
1044,GaussianNB,Nicotine,33,29,20,106
1045,GaussianNB,Nicotine,28,34,12,114
1046,GaussianNB,Nicotine,35,28,27,98
1047,GaussianNB,Nicotine,25,37,23,102
1048,GaussianNB,Nicotine,25,37,19,106
1049,GaussianNB,Nicotine,29,33,18,107
1050,GaussianNB,VSA,165,1,20,2
1051,GaussianNB,VSA,162,3,21,2
1052,GaussianNB,VSA,161,4,21,2
1053,GaussianNB,VSA,163,2,18,5
1054,GaussianNB,VSA,164,1,23,0
1055,GaussianNB,VSA,163,2,22,1
1056,GaussianNB,VSA,162,3,22,1
1057,GaussianNB,VSA,161,4,21,1
1058,GaussianNB,VSA,164,1,20,2
1059,GaussianNB,VSA,161,4,21,1
1060,GaussianNB,VSA,164,2,20,2
1061,GaussianNB,VSA,163,2,22,1
1062,GaussianNB,VSA,161,4,21,2
1063,GaussianNB,VSA,162,3,21,2
1064,GaussianNB,VSA,165,0,22,1
1065,GaussianNB,VSA,160,5,21,2
1066,GaussianNB,VSA,163,2,21,2
1067,GaussianNB,VSA,163,2,20,2
1068,GaussianNB,VSA,163,2,22,0
1069,GaussianNB,VSA,162,3,18,4
1070,GaussianNB,VSA,165,1,19,3
1071,GaussianNB,VSA,163,2,21,2
1072,GaussianNB,VSA,164,1,23,0
1073,GaussianNB,VSA,161,4,22,1
1074,GaussianNB,VSA,161,4,19,4
1075,GaussianNB,VSA,162,3,22,1
1076,GaussianNB,VSA,162,3,21,2
1077,GaussianNB,VSA,164,1,21,1
1078,GaussianNB,VSA,163,2,20,2
1079,GaussianNB,VSA,161,4,22,0
1080,BernoulliNB,Alcohol,0,7,0,181
1081,BernoulliNB,Alcohol,0,7,0,181
1082,BernoulliNB,Alcohol,0,7,0,181
1083,BernoulliNB,Alcohol,0,7,0,181
1084,BernoulliNB,Alcohol,0,7,0,181
1085,BernoulliNB,Alcohol,0,7,0,181
1086,BernoulliNB,Alcohol,0,7,0,181
1087,BernoulliNB,Alcohol,0,6,0,181
1088,BernoulliNB,Alcohol,0,6,0,181
1089,BernoulliNB,Alcohol,0,6,0,181
1090,BernoulliNB,Alcohol,0,7,0,181
1091,BernoulliNB,Alcohol,0,7,0,181
1092,BernoulliNB,Alcohol,0,7,0,181
1093,BernoulliNB,Alcohol,0,7,0,181
1094,BernoulliNB,Alcohol,0,7,0,181
1095,BernoulliNB,Alcohol,0,7,0,181
1096,BernoulliNB,Alcohol,0,7,0,181
1097,BernoulliNB,Alcohol,0,6,0,181
1098,BernoulliNB,Alcohol,0,6,0,181
1099,BernoulliNB,Alcohol,0,6,0,181
1100,BernoulliNB,Alcohol,0,7,0,181
1101,BernoulliNB,Alcohol,0,7,0,181
1102,BernoulliNB,Alcohol,0,7,0,181
1103,BernoulliNB,Alcohol,0,7,0,181
1104,BernoulliNB,Alcohol,0,7,0,181
1105,BernoulliNB,Alcohol,0,7,0,181
1106,BernoulliNB,Alcohol,0,7,0,181
1107,BernoulliNB,Alcohol,0,6,0,181
1108,BernoulliNB,Alcohol,0,6,0,181
1109,BernoulliNB,Alcohol,0,6,0,181
1110,BernoulliNB,Amphet,95,25,28,40
1111,BernoulliNB,Amphet,87,33,21,47
1112,BernoulliNB,Amphet,94,26,23,45
1113,BernoulliNB,Amphet,82,38,37,31
1114,BernoulliNB,Amphet,80,41,28,39
1115,BernoulliNB,Amphet,85,36,24,43
1116,BernoulliNB,Amphet,82,39,23,44
1117,BernoulliNB,Amphet,83,37,28,39
1118,BernoulliNB,Amphet,85,35,24,43
1119,BernoulliNB,Amphet,83,37,27,40
1120,BernoulliNB,Amphet,86,34,24,44
1121,BernoulliNB,Amphet,92,28,32,36
1122,BernoulliNB,Amphet,102,18,36,32
1123,BernoulliNB,Amphet,82,38,26,42
1124,BernoulliNB,Amphet,79,42,26,41
1125,BernoulliNB,Amphet,86,35,21,46
1126,BernoulliNB,Amphet,88,33,30,37
1127,BernoulliNB,Amphet,82,38,18,49
1128,BernoulliNB,Amphet,87,33,25,42
1129,BernoulliNB,Amphet,83,37,25,42
1130,BernoulliNB,Amphet,95,25,30,38
1131,BernoulliNB,Amphet,81,39,19,49
1132,BernoulliNB,Amphet,87,33,30,38
1133,BernoulliNB,Amphet,85,35,28,40
1134,BernoulliNB,Amphet,78,43,29,38
1135,BernoulliNB,Amphet,82,39,31,36
